Dokument-ID	Dokumenttyp	Verfasser/Autoren	Herausgeber	Haupttitel	Abstract	Auflage	Verlagsort	Verlag	Erscheinungsjahr	Seitenzahl	Schriftenreihe Titel	Schriftenreihe Bandzahl	ISBN	Quelle der Hochschulschrift	Konferenzname	Quelle:Titel	Quelle:Jahrgang	Quelle:Heftnummer	Quelle:Erste Seite	Quelle:Letzte Seite	URN	DOI	Abteilungen
OPUS4-49552	Wissenschaftlicher Artikel	Degen, Andreas		Grenzland und Sarmatien			G�ttingen	V & R unipress	2021	27	Sarmatien - Germania Slavica - Mitteleuropa : vom Grenzland im Osten �ber Johannes Bobrowskis Utopie zur �sthetik des Grenzraums = Sarmatia - Germania Slavica - Central Europe : from the borderland in the East and Johannes Bobrowski's utopia to a border aesthetics		978-3-8471-1193-1					 	53	80		10.14220/9783737011938.53	Institut f�r Germanistik
OPUS4-48247	Buch (Monographie)	Lettl, Tobias		Lauterkeitsrecht	Das Wettbewerbsrecht ist vor allem im Gesetz gegen den unlauteren Wettbewerb (UWG) geregelt, das den Begriff der "Lauterkeit" zur Feststellung der Zul�ssigkeit eines Gesch�ftsgebahrens verwendet. Das Rechtsgebiet wird daher in Abgrenzung zum europ�ischen Wettbewerbsrecht, das kartellrechtliche Fragen betrifft, auch als Lauterkeitsrecht bezeichnet. Von besonderer Bedeutung sind die Vorgaben der europ�ischen Richtlinie �ber unlautere Gesch�ftspraktiken (2005/29/EG), die es bei der Auslegung des UWG stets zu beachten gilt. Die Neuauflage bringt das Werk auf den aktuellen Stand von Gesetz, Rechtsprechung und Schrifttum. Dies betrifft insbesondere das Gesetz zur St�rkung des fairen Wettbewerbs sowie einige Grundsatzentscheidungen des EuGH (zB WRP 2018, 1304 - Autorita Garante della Concorrenza del Mercato/Tre Wind u.a. und WRP 2018, 1311 - Komisia za zashtita na potrebitelite/Evelina Kamenova) und des BGH zu � 3a UWG in Verbindung mit Art. 5 Abs. 1 S. 2 GG (BGH WRP 2019, 317 - Crailsheimer Stadtblatt II), � 5 Abs. 1 UWG (BGH WRP 2019, 883 - Pr�miensparvertr�ge), � 5a UWG (zB BGH WRP 2018, 65 - MeinPaket.de II und WRP 2018, 1335 - Werbeblocker II) und � 823 Abs. 1 BGB im Hinblick auf den Eingriff in das Recht am Unternehmen durch Zusenden von Werbe-E-Mails ohne Einwilligung des Empf�ngers (BGH WRP 2017, 700 - Einwilligung in E-Mail-Werbung). Das Wettbewerbsrecht ist Gegenstand des Schwerpunktbereichsstudiums. Da sich die Materie vor allem aufgrund europ�ischer Einfl�sse im st�ndigen Wandel befindet, ist das Bed�rfnis an einem aktuellen, aber zugleich konsequent auf Studienbed�rfnisse zugeschnittenen Lehrbuch gro�. Der Grundriss stellt das aktuelle Wettbewerbsrecht studiengerecht mit vielen �bersichten, Schemata, Beispielen und einer �bungsklausur mit L�sung dar. Vorteile auf einen Blick - kompakte Darstellung des geltenden Rechts - mit vielen Einstiegsf�llen und Beispielen - vom Autor des Parallelwerks Kartellrecht in der Grundriss-Reihe Zur Neuauflage - Mit der 4. Auflage wird das Werk auf den neuesten Stand von Rechtsprechung und europ�ischen Entwicklungen gebracht. Es ber�cksichtigt insbesondere die UWG-Novelle 2015, die das UWG grundlegend ver�ndert hat. Zielgruppe F�r Studierende und alle, die sich auf einfache Weise in das Wettbewerbsrecht einarbeiten wollen.	4., neu bearbeitete Auflage	M�nchen	Beck	2021	XVII, 406	Grundrisse des Rechts		978-3-406-74583-6					 					�ffentliches Recht
OPUS4-50007	Dissertation	Schrepp, Caroline		Steuerliche Verlustnutzung im R�ckwirkungszeitraum : � 2 Abs. 4 UmwStG	Die Gestaltungsfreiheit des Steuerpflichtigen steht in einem Spannungsverh�ltnis zu einer effektiven Missbrauchsbek�mpfung durch den Gesetzgeber. Besonders ausgepr�gt ist dieses im Bereich der steuerlichen Verlustnutzung. Dabei ger�t die verfassungsrechtliche Verankerung der Verlustnutzung zunehmend aus dem Blick. Am Beispiel des � 2 Abs. 4 UmwStG untersucht die Arbeit die verfassungsrechtlichen Grenzen von Verlustverrechnungsbeschr�nkungen. Es wird die enge Verkn�pfung zu � 8c KStG herausgearbeitet und die Vorschrift vor dem Hintergrund der europ�ischen Missbrauchskonzeption beleuchtet. Die gewonnenen Ergebnisse m�nden in einen Vorschlag f�r eine Neufassung des � 2 Abs. 4 UmwStG, der nationalen und europ�ischen Vorgaben Rechnung tr�gt.		Baden-Baden	Nomos	2021	215	Steuerwissenschaftliche Schriften ; 75		978-3-8487-8039-6					 					�ffentliches Recht
OPUS4-50061	Dissertation	Schweiger, Stefan		Erz�hlungen der Energiewende - Sozialwissenschaftliche Erz�hlforschung als Methodik nachhaltigkeitsorientierter Politikwissenschaft	Die Erz�hlungen der Energiewende: Erz�hlungen beherrschen die Interpretation des politischen Geschehens mehr als formal und methodisch strenge Argumentationsketten. Dies gilt insbesondere f�r Demokratien. In Demokratien gilt es zu �berzeugen und auch zu �berreden, um Macht zu erhalten, Macht zu sichern oder Akzeptanz f�r bestimmte politische Vorhaben zu generieren. Diese simple Feststellung l�sst zwei Schl�sse f�r eine transformativ ausgerichtete Politikwissenschaft zu. Erstens k�nnen transformative Narrative produziert werden, die das Auftreten von �kologisch, sozial, �konomisch und kulturell nachhaltigem wahrscheinlicher machen, Zweitens k�nnen die Narrative von nachhaltiger wie nicht-nachhaltiger Transformation analysiert werden. Beiden Aufgaben widmet sich die Dissertationsschrift. Dabei werden f�r den transformativen Teil ethnografisch erhobene Daten zu f�nf transformativen Narrativen verdichtet, die Vorw�rts- und Vorbildcharakter haben. In den f�nf Aufs�tzen wurde auf Diversit�t zwischen den beschriebenen Protagonisten geachtet, sodass eine breite Leser*innenschaft angesprochen wird. Im analytischen Part wird in einem Aufsatz �ber diese Vorgehen reflektiert und die Form beschrieben durch die transformative Narrative Wirksamkeit entfalten. Dabei gilt immer, dass die Wissenschaft keine Narrative selbst setzt, sondern mittels nachvollziehbarer Methoden Daten zum Sprechen bringt. Dies ist unter review-Bedingungen gelungen. Neben eines Einsatz von Narrativen in Fragen der Gestaltung der neu entstandenen und weiter entstehenden Energielandschaften behandelt diese Dissertationsschrift a, diskursstrangorientierte als auch institutionsorientierte Erz�hlungen �ber die Energiewende. Dabei wurden diskursstrangorientiert die unterschiedlichen Erz�hlungen der und �ber energieintensive Unternehmen bez�glich der EEG-Umlage untersucht und kategorisiert und die Metaphern der Energiewende im Magazin DER SPIEGEL erhoben und analysiert. Institutionsorientiert wurde die Energiewendeerz�hlung der Partei `Alternative f�r Deutschland�, die Bildsprache des Wirtschaftsministeriums an Hand eines Beispiels sowie die Nachhaltigkeitserz�hlungen der Zukunftsinstitut GmbH. Schlie�lich wird nach messbaren Folgen des Nachhaltigkeitsnarrativs in drei Regionen des Rhein-Maas-Gebiets gefragt, was die Arbeit abrunden soll.				2021	261								 					Fachgruppe Politik- & Verwaltungswissenschaft
OPUS4-48176	Buch (Monographie)	Ambauen, Ladina; Arnold, Maren; Becker, Christian; Chahrour, Mohamed Chaker; Destanovic, Edis; Fretter, Alexandra; Gei�ler, Marc; Gr�nberg, Uwe; Habl, Moritz; Hoffmann, Sandra; Juchler, Ingo; Jurkatis, Lena Christine; Keitel, Bernhard; Losensky, Nikolai; Mrowietz, Christian; Nadol, Dominic; Naumann, Asja; Ockenga, Imke; Pohlandt, Anne; P�rschel, Tobias; Recktenwald, Michelle; Stephan, Roswitha; Tuchel, Johannes; Weinkamp, Christina; Wei�, Christian; Wiecking, Ole; Wockenfu�, Patricia; Zalitatsch, Nora Lina	Juchler, Ingo	Mildred Harnack und die Rote Kapelle in Berlin	Mildred Harnack, geb. Fish, stammte urspr�nglich aus Milwaukee, Wisconsin. Zusammen mit ihrem Ehemann Arvid Harnack zog sie nach Deutschland und lebte seit 1930 in Berlin. Hier lehrte die Literaturwissenschaftlerin an der Friedrich-Wilhelms-Universit�t (heute Humboldt-Universit�t) und am Berliner Abendgymnasium (heute Peter A. Silbermann-Schule). Bereits kurz nach der Macht�bernahme von Adolf Hitler hatte sich um das Ehepaar Harnack ein Kreis von Freunden gebildet, der gegen die Herrschaft der Nationalsozialisten opponierte. Dazu z�hlten auch Karl Behrens und Bodo Schl�singer, die beide Sch�ler Mildred Harnacks am Berliner Abendgymnasium waren. Mildred Harnack konnte mit Hilfe ihrer Kontakte zur amerikanischen Botschaft ihren Sch�lern im nationalsozialistischen Deutschland ansonsten nicht zug�ngliche Informationen besorgen. Aufgrund von Funkkontakten des Freundeskreises zur Sowjetunion wurde die Gruppe von den Nationalsozialisten Rote Kapelle genannt - &#8222;rot" bezog sich auf deren linke Haltung und mit &#8222;Kapelle" wurden Funker assoziiert, die wie Pianisten in einer Kapelle spielen. Der Berliner Oppositionszirkel umfasste bis zu seiner Zerschlagung durch die Nationalsozialisten etwa 150 Personen verschiedenster Berufsgruppen, unterschiedlicher parteipolitischer Einstellungen und Konfessionen. Die Gruppe verfertigte oppositionelle Flugbl�tter und lieferte Informationen an die amerikanische Botschaft sowie an die Sowjetunion. Mildred Harnack wurde - wie viele ihrer Mitstreiterinnen und Mitstreiter - nach ihrer Verhaftung vom Reichskriegsgericht zum Tode verurteilt und am 16. Februar 1943 in Pl�tzensee guillotiniert. In diesem Band stellen Studierende der Universit�t Potsdam sowie H�rerinnen und H�rer der Peter A. Silbermann-Schule (Berlin) nach einem kurzen �berblick zum Widerstand gegen den Nationalsozialismus in Deutschland das Netzwerk der Roten Kapelle sowie die Biographien von Mildred Harnack und ihren Sch�lern Karl Behrens und Bodo Schl�singer vom Berliner Abendgymnasium eindr�cklich vor.	2., verbesserte Auflage	Potsdam	Universit�tsverlag Potsdam	2021	170			978-3-86956-500-2					 			urn:nbn:de:kobv:517-opus4-481762	10.25932/publishup-48176	Fachgruppe Politik- & Verwaltungswissenschaft
OPUS4-50008	Dissertation	Schmidt, Christoph		Das modernisierte Besteuerungsverfahren in Deutschland im Vergleich zu �sterreich	Digitalisierung ist das Schlagwort unserer Zeit und kaum ein Lebensbereich bleibt davon unber�hrt. F�r den Einzelnen, die Gesellschaft, die Unternehmen und den Staat bietet sie immense Chancen. Die weiterhin nicht �berstandene COVID-19-Pandemie f�hrt dazu, dass dem digitalen Wandel in bisher ungeahnter Geschwindigkeit eine enorme praktische Bedeutung zukommt. Vor diesem Hintergrund erfolgt mit der Untersuchung ein Rechtsvergleich der Besteuerungsverfahren �sterreichs und Deutschlands. Ziel ist es, �ber das Verfahren im Nachbarland zu informieren und die Unterschiede zum deutschen Recht pointiert herauszuarbeiten. F�r Deutschland resultiert daraus die Chance, Konzepte und L�sungen der �sterreichischen Finanzverwaltung bei der Fortentwicklung von E-Government auszuwerten und sowohl von den positiven wie auch negativen Erfahrungen zu profitieren. So k�nnen konkrete Reformvorschl�ge f�r das deutsche Besteuerungsverfahren erarbeitet und die daraus resultierenden Chancen dargestellt werden.		Berlin	Duncker & Humblot	2021	338	Schriften zum Steuerrecht ; Band 152		978-3-428-18107-0					 					�ffentliches Recht
OPUS4-50166	Dissertation	Rodriguez-Sillke, Yasmina		Der Einfluss von Nahrungsmittelantigenen auf die mukosale sowie periphere Hom�ostase und Entz�ndung bei chronisch entz�ndlichen Darmerkrankungen					2021	134								 					Institut f�r Ern�hrungswissenschaft
OPUS4-50013	Wissenschaftlicher Artikel	Schubarth, Wilfried; Speck, Karsten		Ergebnisse zur Einsch�tzung des Referendariatsaus Sicht aller Akteure			M�nster	Waxmann	2021	244			978-3-8309-4332-7			Das Referendariat : ein systematischer Blick auf den schulpraktischen Vorbereitungsdienst		 	254				Department Erziehungswissenschaft
OPUS4-50012	Wissenschaftlicher Artikel	Richter, Eric; Richter, Dirk		Rolle und Bedeutung der Mitreferendarinnen und Mitreferendare			M�nster	Waxmann	2021	8	Das Referendariat : ein systematischer Blick auf den schulpraktischen Vorbereitungsdienst		978-3-8309-4332-7					 	130	138			Department Erziehungswissenschaft
OPUS4-50002	Dissertation	Peller, Gregor		Bundeswehrapotheken	&#8222;Bundeswehrapotheken" schildert die Entstehung und Entwicklung der Sanit�tsmaterialversorgungseinrichtungen der Bundeswehr von ihrer Aufstellung Ende der 1950er Jahre bis in die 2000er Jahre. Anfangs im rechtlichen Sinne noch keine Apotheken, waren diese Einrichtungen damals in erster Linie auf den Kriegsfall ausgerichtet und von sehr begrenzter pharmazeutischer Leistungsf�higkeit. Heute sind nur noch wenige gro�e Bundeswehrapotheken verblieben, die jedoch hinsichtlich ihrer personellen, materiellen und infrastrukturellen Ausstattung und M�glichkeiten uneingeschr�nkt zivilen Einrichtungen vergleichbar leistungsf�hig sind. �berwiegend mit milit�rischen Fachleuten besetzt und entsprechend ausger�stet, k�nnen die heutigen Bundeswehrapotheken diese Leistung prinzipiell weltweit erbringen. Gegliedert nach markanten Zeitabschnitten hat der Autor vor dem Hintergrund der jeweils geltenden politischen und milit�rischen Rahmenbedingungen sowie der Einsatzgrunds�tze der Bundeswehr den Einfluss der jeweiligen rechtlichen, milit�rischen, gesellschaftlichen und fachlichen Vorgaben sowie pr�gender Ereignisse herausgearbeitet, eingeordnet und bewertet.		Hamburg	tredition	2021	674			978-3-347-24096-4					 					Historisches Institut
OPUS4-50003	Dissertation	Rischke-Ne�, Janine		Subjektivierungen und Kriminalit�tsdiskurse im 18. Jahrhundert			G�ttingen	Vandenhoeck & Ruprecht GmbH & Co. KG	2021	473	Schriften des Fr�hneuzeitzentrums Potsdam		978-3-8471-1164-1					 10					Historisches Institut
OPUS4-49854	Dissertation	Erdogan, Julia G�l		Avantgarde der Computernutzung	Hacker und Haecksen z�hlen zur Avantgarde der Computerisierung. Seit den sp�ten 1970er-Jahren bildeten sie sich in der Bundesrepublik und in der DDR zu eigensinnigen ComputernutzerInnen mit einschl�gigem Wissen heraus. Sie eigneten sich das Medium spielerisch an, schufen Kontaktr�ume und brachten sich so aktiv in den Prozess der Computerisierung ein. Durch ihre Grenz�berschreitungen zeigten sie dabei Chancen und Risiken der Digitalisierung auf. Julia G�l Erdogan geht der Entstehung der Hackerkulturen in Ost- und Westdeutschland nach. Sie analysiert, wie deren teils subversive Praktiken Machtgef�ge in Politik, Wirtschaft und Gesellschaft herausforderten. Zugleich verdeutlicht die Arbeit Gemeinsamkeiten und Unterschiede der fr�hen sub- und gegenkulturellen Computernutzung in den beiden deutschen Teilstaaten.		G�ttingen	Wallstein-Verlag	2021	392	Geschichte der Gegenwart		978-3-8353-3370-3					 24				10.5771/9783835346321	Historisches Institut
OPUS4-49841	Dissertation	Schellbach, Konrad		Erdbeben in der Geschichtsschreibung des Fr�h- und Hochmittelalters	"Terrae motus factus est magnus". In diesen und �hnlichen Worten erinnern mittelalterliche Geschichtsschreiber stets an das versp�rte Eintreten von Erdbeben. F�r die ereignisgeschichtliche Rekonstruktion der historischen Seismizit�t besitzt das Verst�ndnis, dieser seit dem Fr�hmittelalter zunehmend standardisiert gebrauchten Narrativen, einen hohen Wert. Daher ist es wichtig, mit den bislang nahezu unerkannt geblieben Intentionen, Vorstellungsstrukturen und Argumentationsstrategien fr�h- und hochmittelalterlicher Geschichtsschreiber bekannt zu werden. Ausgehend von den antiken Urspr�ngen ermittelt diese Arbeit die Bandbreite einer auf "terrae motus" aufbauenden, spezifisch mittelalterlichen Traditionsbildung und setzt sie in den Kontext zum Wissens- und Erfahrungshorizont fr�h- und hochmittelalterlicher Gelehrter. Erdbeben besa�en ein au�erordentliches hermeneutisches Potential f�r das mittelalterliche Weltverst�ndnis. Somit sind mittelalterliche Erdbebenbeschreibungen hinsichtlich ihrer deskriptiven Qualit�t und argumentativen Wertigkeit verschieden. Die Historiographie- und Ideengeschichte sowie die seismologische Parametrisierung von mittelalterlichen Erdbeben wird von diesem Wissen gleicherma�en profitieren.		Berlin	de Gruyter	2021	XII, 354	Historical catastrophe studies		978-3-11-061998-0					 				10.1515/9783110620771	Historisches Institut
OPUS4-49283	Wissenschaftlicher Artikel	Hoyer, Melanie; Stadler, Heike		Nicht im Tr�ben fischen			Reutlingen	Berufsverband Information Bibliothek	2021	3	BuB : Forum Bibliothek und Information ; Fachzeitschrift des BIB, Berufsverband Information Bibliothek e.V.	73						 1	52	54			Universit�tsbibliothek
OPUS4-49608	Wissenschaftlicher Artikel	Stillmark, Hans-Christian	Kubacki, Artur Dariuzs; R�skau-Rydel, Isabel	Verwoben vom Anfang bis zum Ende Heiner M�llers Hebbel-Rezeption	Der Beitrag untersucht die Bezugnahme Heiner M�llers auf den Dramatiker Friedrich Hebbel. Erstaunlich ist, dass dies den Beginn seines eigenen Schreibens markierte und Hebbels Werke ihn bis zum Ende nicht losgelassen haben.		G�ttingen	Vandenhoeck & Ruprecht	2021	13	Literatur und Kultur zwischen West und Ost. Imagination, Kommunikation und Wahrnehmung in regionalen Kulturr�umen. Festschrift f�r Paul Martin Langner zum 65. Geburtstag		978-3-8471-1239-6					 	39	52			Institut f�r K�nste und Medien
OPUS4-50433	Wissenschaftlicher Artikel	Schilling, Theodor		Werte als gemeinsame Grundlage moralischer und juridischer Menschenrechte			Potsdam	Universit�tsverlag Potsdam	2021	13	MenschenRechtsMagazin : MRM ; Informationen, Meinungen, Analysen	26						 1	5	17	urn:nbn:de:kobv:517-opus4-504338	10.25932/publishup-50433	MenschenRechtsZentrum
OPUS4-50440	Wissenschaftlicher Artikel	Goeke, Henning		Auf der Suche nach Universalit�t in Kairo, Banjul und Phnom Penh			Potsdam	Universit�tsverlag Potsdam	2021	14	MenschenRechtsMagazin : MRM ; Informationen, Meinungen, Analysen	26						 1	18	31	urn:nbn:de:kobv:517-opus4-504406	10.25932/publishup-50440	MenschenRechtsZentrum
OPUS4-50494	Wissenschaftlicher Artikel	Gerbig, Stephan		Kinder als Menschenrechtsverteidiger:innen			Potsdam	Universit�tsverlag Potsdam	2021	12	MenschenRechtsMagazin : MRM ; Informationen, Meinungen, Analysen	26						 1	68	79	urn:nbn:de:kobv:517-opus4-504942	10.25932/publishup-50494	MenschenRechtsZentrum
OPUS4-50492	Wissenschaftlicher Artikel	Davarnejad, Leyla		Hybrides Soft Law zur unternehmerischen Menschenrechtsverantwortung und Corporate Social Responsibility			Potsdam	Universit�tsverlag Potsdam	2021	13	MenschenRechtsMagazin : Informationen | Meinungen | Analysen	26						 1	55	67	urn:nbn:de:kobv:517-opus4-504928	10.25932/publishup-50492	MenschenRechtsZentrum
OPUS4-50475	Wissenschaftlicher Artikel	B�hm, Otto		Replik auf Felix Br�nners Beitrag im MRM - MenschenRechtsMagazin Heft 1/2 2019 &#8222;Koloniale Kontinuit�ten im Menschenrechtsdiskurs" S. 24-37 (Teil 1)			Potsdam	Universit�tsverlag Potsdam	2021	10	MenschenRechtsMagazin : MRM ; Informationen, Meinungen, Analysen	26						 1	32	41	urn:nbn:de:kobv:517-opus4-504751	10.25932/publishup-50475	MenschenRechtsZentrum
OPUS4-50507	Wissenschaftlicher Artikel	Wagner, Marlene		Bericht �ber die T�tigkeit des Menschenrechtsausschusses der Vereinten Nationen im Jahre 2020 - Teil I: Staatenberichte			Potsdam	Universit�tsverlag Potsdam	2021	10	MenschenRechtsMagazin : MRM ; Informationen, Meinungen, Analysen	26						 1	80	89	urn:nbn:de:kobv:517-opus4-505072	10.25932/publishup-50507	MenschenRechtsZentrum
OPUS4-50512	Wissenschaftlicher Artikel	Zimmermann, Andreas		Doris Angst/Emma Lantschner (Hrsg.), ICERD - Internationales �bereinkommen zur Beseitigung jeder Form von Rassendiskriminierung - Handkommentar, erschienen im Nomos- Verlag, Baden-Baden 2020, 700 Seiten, ISBN 978-3-8487-4595-1			Potsdam	Universit�tsverlag Potsdam	2021	2	MenschenRechtsMagazin : MRM ; Informationen, Meinungen, Analysen	26						 1	90	91	urn:nbn:de:kobv:517-opus4-505122	10.25932/publishup-50512	MenschenRechtsZentrum
OPUS4-49672	Vollst�ndige Ausgabe (Heft) einer Zeitschriftenreihe	Schilling, Theodor; Goeke, Henning; B�hm, Otto; Brunner, Manuel; Davarnejad, Leyla; Gerbig, Stephan; Wagner, Marlene; Zimmermann, Andreas		MenschenRechtsMagazin : Informationen | Meinungen | Analysen	Aus dem Inhalt: - Replik auf Felix Br�nners Beitrag im MRM - MenschenRechtsMagazin Heft 1/2 2019 &#8222;Koloniale Kontinuit�ten im Menschenrechtsdiskurs" S. 24&#8201;-&#8201;37 (Teil 1) - Der Nachweis von Verletzungen der Menschenrechte durch Satellitenbilder - Dargestellt am Beispiel der Praxis von Untersuchungskommissionen des Menschenrechtsrates der Vereinten Nationen - Kinder als Menschenrechtsverteidiger:innen - Anforderungen an ein f�rderliches Umfeld f�r das Engagement von Kinder		Potsdam	Universit�tsverlag Potsdam	2021	92		26						 1			urn:nbn:de:kobv:517-opus4-496720	10.25932/publishup-49672	MenschenRechtsZentrum
OPUS4-50476	Wissenschaftlicher Artikel	Brunner, Manuel		Der Nachweis von Verletzungen der Menschenrechte durch Satellitenbilder			Potsdam	Universit�tsverlag Potsdam	2021	13	MenschenRechtsMagazin : MRM ; Informationen, Meinungen, Analysen	26						 1	42	52	urn:nbn:de:kobv:517-opus4-504764	10.25932/publishup-50476	MenschenRechtsZentrum
